hsmpSn,공급유형,원본행수,세대수_고유값수,세대수_고유값,대표세대수,세대수일관성,주소
30702244,매입임대,4,1,6,6,일치,전남광주통합특별시 남구 봉선2로19번길 10-17
30702245,매입임대,3,1,5,5,일치,전남광주통합특별시 남구 수박등로47번길 15
30702246,매입임대,3,1,5,5,일치,전남광주통합특별시 남구 용대로193번길 9
30702247,매입임대,3,1,9,9,일치,전남광주통합특별시 남구 진다리로31번안길 5
30702248,매입임대,5,1,5,5,일치,전남광주통합특별시 서구 금부로103번길 8-20
30702249,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 학생독립로10번길 11
30702250,매입임대,2,1,5,5,일치,전남광주통합특별시 서구 염화로83번길 25-1
30702251,매입임대,4,1,6,6,일치,전남광주통합특별시 서구 운천로92번길 22
30702252,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 월드컵4강로197번길 45
30702253,매입임대,3,1,6,6,일치,전남광주통합특별시 서구 월드컵4강로71번길 23
30702254,매입임대,4,1,6,6,일치,전남광주통합특별시 서구 화정로138번길 45-6
30702255,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 화정로21번길 4-16
30702256,매입임대,4,1,6,6,일치,전남광주통합특별시 서구 화정로21번길 4-18
30702257,매입임대,4,1,5,5,일치,전남광주통합특별시 서구 화정로21번길 4-26
30703342,매입임대,6,1,10,10,일치,전남광주통합특별시 동구 경양로 239
30703343,매입임대,5,1,11,11,일치,전남광주통합특별시 동구 경양로243번길 24-3
30703344,매입임대,3,1,6,6,일치,전남광주통합특별시 동구 동계로1번길 13
30703345,매입임대,3,1,5,5,일치,전남광주통합특별시 동구 중흥로227번길 10-10
30703346,매입임대,3,1,6,6,일치,전남광주통합특별시 동구 학소로86번길 10
30703347,매입임대,5,1,6,6,일치,전남광주통합특별시 서구 금부로103번길 20-12
30703348,매입임대,1,1,6,6,일치,전남광주통합특별시 서구 금부로95번길 26-26
30703349,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 금부로99번길 19-1
30703350,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 내방마을2길 6-8
30703351,매입임대,4,1,6,6,일치,전남광주통합특별시 서구 학생독립로10번길 4-9
30703352,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 학생독립로22번길 28
30703353,매입임대,4,1,7,7,일치,전남광주통합특별시 서구 상무오월로3번길 28-5
30703354,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 염화로83번길 19-4
30703355,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 칠성로4번길 7
30703356,매입임대,5,1,7,7,일치,전남광주통합특별시 서구 풍암순환로128번길 29
30703357,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 화개2로20번길 28-13
30703358,매입임대,3,1,6,6,일치,전남광주통합특별시 서구 화정로21번길 4-22
30703359,매입임대,2,1,6,6,일치,전남광주통합특별시 서구 화정로78번길 24-13
30703360,매입임대,3,1,5,5,일치,전남광주통합특별시 서구 화정로78번길 24-34
30703361,매입임대,9,1,9,9,일치,전남광주통합특별시 남구 군분로77번안길 15
30703362,매입임대,4,1,6,6,일치,전남광주통합특별시 남구 봉선2로19번길 12
30703363,매입임대,5,1,5,5,일치,전남광주통합특별시 남구 회서로21번가길 5-1
30703364,매입임대,5,1,8,8,일치,전남광주통합특별시 남구 회재로1231번길 7
30703365,매입임대,2,1,6,6,일치,전남광주통합특별시 동구 독립로350번길 15
30703366,매입임대,4,1,8,8,일치,전남광주통합특별시 북구 참판로 172
30703367,매입임대,3,1,8,8,일치,전남광주통합특별시 북구 참판로 172
30703368,매입임대,3,1,7,7,일치,전남광주통합특별시 북구 참판로 172
30703369,매입임대,3,1,11,11,일치,전남광주통합특별시 북구 참판로 172
30703370,매입임대,5,1,8,8,일치,전남광주통합특별시 북구 감적길 46-2
30703371,매입임대,4,1,5,5,일치,전남광주통합특별시 북구 능안로29번길 7-4
30703372,매입임대,4,1,5,5,일치,전남광주통합특별시 북구 대천로157번길 96-17
30703373,매입임대,1,1,6,6,일치,전남광주통합특별시 북구 대천로157번길 96-3
