hsmpSn,행수,세대수_고유값수,세대수_고유값,주소_고유값수,주소,공급유형_고유값수,공급유형,대표세대수_후보,세대수일관성
30701676,5,1,12,1,전남광주통합특별시 동구 동명로20번길 2,1,매입임대,12,일치
30701677,8,1,8,1,전남광주통합특별시 동구 필문대로171번길 17-4,1,매입임대,8,일치
30702225,4,1,6,1,전남광주통합특별시 북구 대천로157번길 49,1,매입임대,6,일치
30702226,2,1,6,1,전남광주통합특별시 북구 대천로157번길 51,1,매입임대,6,일치
30702227,2,1,5,1,전남광주통합특별시 북구 무진성길 83,1,매입임대,5,일치
30702228,2,1,6,1,전남광주통합특별시 북구 부남길 42,1,매입임대,6,일치
30702229,4,1,6,1,전남광주통합특별시 북구 부남길 42-6,1,매입임대,6,일치
30702230,2,1,6,1,전남광주통합특별시 북구 부남길 46,1,매입임대,6,일치
30702231,2,1,6,1,전남광주통합특별시 북구 서하로315번길 51-9,1,매입임대,6,일치
30702232,4,1,12,1,전남광주통합특별시 북구 설죽로251번길 109-6,1,매입임대,12,일치
30702233,4,1,12,1,전남광주통합특별시 북구 설죽로251번길 109-8,1,매입임대,12,일치
30702234,6,1,6,1,전남광주통합특별시 북구 송월로49번길 15-5,1,매입임대,6,일치
30702235,1,1,6,1,전남광주통합특별시 북구 송월로49번길 15-8,1,매입임대,6,일치
30702236,7,1,8,1,전남광주통합특별시 북구 양일로344번길 42,1,매입임대,8,일치
30702237,3,1,15,1,전남광주통합특별시 북구 우치로361번길 25,1,매입임대,15,일치
30702238,2,1,6,1,전남광주통합특별시 광산구 목련로397번안길 8-14,1,매입임대,6,일치
30702239,6,1,6,1,전남광주통합특별시 광산구 산정공원로60번길 34,1,매입임대,6,일치
30702240,2,1,6,1,전남광주통합특별시 광산구 우산로95번길 47-7,1,매입임대,6,일치
30702241,6,1,14,1,전남광주통합특별시 광산구 월계로22번길 6,1,매입임대,14,일치
30702242,6,1,6,1,전남광주통합특별시 남구 봉선로 63-1,1,매입임대,6,일치
