aptNm,aptSeq,buildYear,contractTerm,contractType,dealDay,dealMonth,dealYear,deposit,excluUseAr,floor,jibun,monthlyRent,preDeposit,preMonthlyRent,roadnm,roadnmbcd,roadnmbonbun,roadnmbubun,roadnmcd,roadnmseq,roadnmsggcd,sggCd,umdNm,useRRRight,gu_name,lawd_cd,housing_type,transaction_type,query_ym,source_api,offiNm,sggNm,houseType,totalFloorAr,mhouseNm,주소키,위도,경도,검색주소,카카오매칭주소,공식자치구,공식행정동,행정동코드,매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,공식지역,프로젝트지역,보증금_만원,월세_만원,전용면적_m2,주소_정규화,공공임대주소일치
엘에이치송화마을8단지,29155-395,2018,25.07~27.07,갱신,28,7,2025,"4,688",36.72,12,825,7,"2,988",17,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,4688,7,36.72,남구 노대실로 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"1,421",16.99,10,713,8,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,1421,8,16.99,남구 행암길 9,True
엘에이치송화마을8단지,29155-395,2018,25.08~27.07,신규,23,7,2025,"1,364",16.85,9,825,8,,,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,1364,8,16.85,남구 노대실로 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,21,7,2025,"3,050",36.81,7,713,17,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,3050,17,36.81,남구 행암길 9,True
엘에이치송화마을8단지,29155-395,2018,25.06~27.07,갱신,25,7,2025,"4,688",36.72,10,825,7,"2,988",17,노대실로 9,0,00009,00000,3161003,0,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|825|노대실로 9|00009|00000,35.1088035081054,126.905394245253,광주광역시 남구 노대동 825,전남광주통합특별시 남구 노대실로 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,4688,7,36.72,남구 노대실로 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.07~27.08,신규,22,7,2025,"3,217",26.54,18,713,7,,,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,3217,7,26.54,남구 행암길 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.08~27.07,갱신,23,7,2025,"1,869",16.99,12,713,6,"1,462",8,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,1869,6,16.99,남구 행암길 9,True
송화마을휴먼시아(진월1블럭주공),29155-307,2007,25.07~27.08,신규,23,7,2025,"2,672",46.9,8,725,14,,,효우로60번길 50,0,00050,00000,4283741,1,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|725|효우로60번길 50|00050|00000,35.1093929954418,126.900214471772,광주광역시 남구 노대동 725,전남광주통합특별시 남구 효우로60번길 50,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,2672,14,46.9,남구 효우로60번길 50,True
송화마을휴먼시아(진월4블럭주공),29155-305,2007,25.08~27.07,갱신,14,7,2025,"2,575",39.72,1,734,9,"2,482",8,효우로60번길 9,0,00009,00000,4283741,1,12270,12270,노대동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|노대동|734|효우로60번길 9|00009|00000,35.1076086354032,126.903198596274,광주광역시 남구 노대동 734,전남광주통합특별시 남구 효우로60번길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,2575,9,39.72,남구 효우로60번길 9,True
효천엘에이치천년나무7단지,29155-391,2017,25.08~27.07,갱신,15,7,2025,"2,565",36.81,19,713,15,"2,535",14,행암길 9,0,00009,00000,4283689,0,12270,12270,행암동,,남구,12270,아파트,전월세,202507,아파트 전월세,,,,,,남구|행암동|713|행암길 9|00009|00000,35.1026108867821,126.896298377775,광주광역시 남구 행암동 713,전남광주통합특별시 남구 행암길 9,남구,효덕동,1227071000,성공,남구,효덕동,True,남구 효덕동,남구 효덕동,2565,15,36.81,남구 행암길 9,True
