hsmpSn,공급유형,대표세대수,원본행수,원본자치구,주소수,주소,전용면적_최소,전용면적_최대,공식자치구,공식행정동,프로젝트자치구,프로젝트행정동,25개동포함여부
31371496,매입임대,1.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31371497,매입임대,3.0,1,광산구,1,전남광주통합특별시 광산구 신창로161번길 34,59.748,59.748,광산구,신창동,광산구,신창동,False
31371500,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 시청로 92,84.9845,84.9845,서구,치평동,서구,치평동,True
31371501,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 효우2로 45,74.97,74.97,남구,효덕동,남구,효덕동,True
31371502,매입임대,2.0,2,남구,1,전남광주통합특별시 남구 노대실로 33,84.88,84.93,남구,효덕동,남구,효덕동,True
31371503,매입임대,5.0,3,북구,1,전남광주통합특별시 북구 서강로 38,59.99,80.3123,북구,운암1동,북구,운암1동,True
31371504,매입임대,1.0,1,북구,1,전남광주통합특별시 북구 서강로54번길 32,59.8159,59.8159,북구,운암1동,북구,운암1동,True
31374074,매입임대,9.0,3,서구,1,전남광주통합특별시 서구 월드컵4강로42번길 39-11,20.68,21.54,서구,화정3동,서구,화정3동,False
31374078,매입임대,15.0,4,북구,1,전남광주통합특별시 북구 면앙로209번길 20,35.615,35.98,북구,두암2동,북구,두암2동,True
31374085,매입임대,12.0,3,북구,1,전남광주통합특별시 북구 삼정로66번길 85,23.3225,24.565,북구,두암3동,북구,두암3동,False
31374090,매입임대,9.0,3,서구,1,전남광주통합특별시 서구 월드컵4강로28번길 3-16,20.57,21.17,서구,화정3동,서구,화정3동,False
31374762,행복주택,50.0,4,광산구,1,전남광주통합특별시 광산구 송정로52번길 86,16.98,36.65,광산구,도산동,광산구,도산동,False
31375319,행복주택,60.0,4,서구,1,전남광주통합특별시 서구 월산로 242,16.98,36.65,서구,농성1동,서구,농성1동,True
31377792,매입임대,57.0,11,광산구,1,전남광주통합특별시 광산구 내상로33번길 40,42.98,79.74,광산구,송정2동,광산구,송정2동,False
31377793,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 양동로17번길 18,78.9324,78.9324,서구,양3동,서구,양3동,False
31377794,매입임대,11.0,9,남구,1,전남광주통합특별시 남구 금화로 450,54.6734,79.5507,남구,월산4동,남구,월산4동,False
31377796,매입임대,6.0,4,남구,1,전남광주통합특별시 남구 금화로456번길 21-2,55.21,59.86,남구,월산4동,남구,월산4동,False
31378475,매입임대,44.0,3,북구,1,전남광주통합특별시 북구 고운로 25,33.32,76.32,북구,용봉동,북구,용봉동,True
31378478,매입임대,22.0,15,광산구,1,전남광주통합특별시 광산구 우산로73번길 11,40.36,73.89,광산구,우산동,광산구,우산동,True
31378780,매입임대,12.0,4,서구,1,전남광주통합특별시 서구 상무대로1177번길 20,18.1779,28.316,서구,농성1동,서구,농성1동,True
31379007,매입임대,10.0,5,북구,1,전남광주통합특별시 북구 평교로29번길 7-6,20.02,20.8,북구,문화동,북구,문화동,False
31379008,매입임대,8.0,3,북구,1,전남광주통합특별시 북구 평교로18번길 6-2,19.0,30.46,북구,우산동,북구,우산동,False
31381028,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,84.95,84.95,서구,동천동,서구,동천동,False
31381029,매입임대,1.0,1,서구,1,전남광주통합특별시 서구 동천로18번길 19,75.72,75.72,서구,동천동,서구,동천동,False
31381030,매입임대,1.0,1,남구,1,전남광주통합특별시 남구 진제길 28,84.9936,84.9936,남구,진월동,남구,진월동,True
