시설명,시설유형,기관분류,주소,자치구,출처,출처URL,수집기준,수집일,위도,경도,카카오검색주소,지오코딩상태,좌표보완방식,좌표보완검색어,공식자치구,공식행정동,행정동코드,행정동매핑상태,프로젝트자치구,프로젝트행정동,분석대상여부,원본자치구_좌표자치구_일치
꿈꾸는 작업실,프로그램운영형,공공,광주 광산구 월계로118번길 37-6 (월계동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2117555978708,126.83864128285,전남광주통합특별시 광산구 월계로118번길 37-6,성공,,,광산구,첨단2동,1233062600,성공,북구,첨단2동,True,True
다올플러스사회적협동조합,프로그램운영형,공공,광주 광산구 소촌로85번길 14-9 (소촌동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.152662301273,126.79088222594,전남광주통합특별시 광산구 소촌로85번길 14-9,성공,,,광산구,어룡동,1233056500,성공,광산구,어룡동,False,True
디저트꾸움,프로그램운영형,공공,"광주 광산구 사암로215번길 16 (우산동, 어등하이빌)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1641280959899,126.808193837224,전남광주통합특별시 광산구 사암로215번길 16,성공,,,광산구,우산동,1233058000,성공,광산구,우산동,True,True
리디아 장미농원,프로그램운영형,공공,광주 광산구 연계금곡길 108-9 (연산동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1137758188562,126.749587569751,전남광주통합특별시 광산구 연계금곡길 108-9,성공,,,광산구,평동,1233067000,성공,광산구,평동,False,True
별아뜰리에,프로그램운영형,공공,"광주 광산구 용아로 175-6 (우산동, 광주하남 LH 천년나무)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.160389524537,126.800266370978,전남광주통합특별시 광산구 용아로 175-6,성공,,,광산구,우산동,1233058000,성공,광산구,우산동,True,True
수떡공예 교욱문화원,프로그램운영형,공공,광주 광산구 산정공원로 12 (월곡동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1693046397195,126.807771034135,전남광주통합특별시 광산구 산정공원로 12,성공,,,광산구,월곡2동,1233061000,성공,광산구,월곡2동,False,True
수미상관 가죽공방,프로그램운영형,공공,광주 광산구 첨단중앙로67번길 7-16 (월계동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2106029829588,126.842153247601,전남광주통합특별시 광산구 첨단중앙로67번길 7-16,성공,,,광산구,첨단2동,1233062600,성공,북구,첨단2동,True,True
시즈레더,프로그램운영형,공공,광주 광산구 신창로105번길 16-7 (신창동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1953321671376,126.836968389208,전남광주통합특별시 광산구 신창로105번길 16-7,성공,,,광산구,신창동,1233070000,성공,광산구,신창동,False,True
아트트리스튜디오,프로그램운영형,공공,광주 광산구 장신로148번길 9-16 (수완동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1899545438947,126.828062374806,전남광주통합특별시 광산구 장신로148번길 9-16,성공,,,광산구,수완동,1233063700,성공,광산구,수완동,True,True
카페스태리,프로그램운영형,공공,"광주 광산구 용아로 175 (우산동, 국제미소래아파트)",광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.1587796177898,126.800216855345,전남광주통합특별시 광산구 용아로 175,성공,,,광산구,우산동,1233058000,성공,광산구,우산동,True,True
협동조합 놀자,프로그램운영형,공공,광주 광산구 월계로 84-25 (월계동),광산구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.2116725451514,126.835996492088,전남광주통합특별시 광산구 월계로 84-25,성공,,,광산구,첨단2동,1233062600,성공,북구,첨단2동,True,True
1549 대촌공감센터,기타공간,공공,광주 남구 포충로 591-1 (지석동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.0815171852993,126.8336783857,전남광주통합특별시 남구 포충로 591-1,성공,,,남구,대촌동,1227073000,성공,남구,대촌동,False,True
광주온에어스테이션,기타공간,공공,"광주 남구 송암로 60 (송하동, 광주CGI센터) 기업동 3층",남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.110713711125,126.877804066884,전남광주통합특별시 남구 송암로 60,성공,,,남구,송암동,1227072000,성공,남구,송암동,True,True
광주음악산업진흥센터,기타공간,공공,광주 남구 사직길 17 (사동),남구,광주청년통합플랫폼,https://youth.gwangju.go.kr/www/areaResve/resveList,광주청년통합플랫폼에서 기관분류가 공공으로 표시된 시설,2026-09-05,35.142611994627,126.914907478461,전남광주통합특별시 남구 사직길 17,성공,,,남구,사직동,1227054500,성공,남구,사직동,False,True
