gu_name,dong_name,lat,lng,category_name,place_count,min_distance_m,collected_at
남구,송암동,35.1012,126.8745,문화시설,1,707.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,학원,47,24.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,버스정류장,0,,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,올리브영,0,,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,다이소,1,147.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,코인노래방,1,47.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,PC방,1,47.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,백화점,1,924.0,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,유니클로,0,,2026-09-04 11:30:46
남구,송암동,35.1012,126.8745,탑텐,0,,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,편의점,41,185.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,카페,165,111.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,음식점,607,199.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,병원,29,561.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,대형마트,2,608.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,지하철역,0,,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,문화시설,13,154.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,학원,90,348.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,버스정류장,0,,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,올리브영,2,361.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,다이소,1,624.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,코인노래방,12,352.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,PC방,28,353.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,백화점,2,670.0,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,유니클로,0,,2026-09-04 11:30:46
북구,용봉동,35.1782,126.9085,탑텐,0,,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,편의점,20,163.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,카페,59,22.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,음식점,316,21.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,병원,50,194.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,대형마트,2,396.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,지하철역,0,,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,문화시설,1,289.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,학원,112,90.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,버스정류장,0,,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,올리브영,1,536.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,다이소,1,391.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,코인노래방,2,80.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,PC방,8,22.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,백화점,4,195.0,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,유니클로,0,,2026-09-04 11:30:46
북구,두암2동,35.1652,126.932,탑텐,0,,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,편의점,24,129.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,카페,105,96.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,음식점,434,94.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,병원,73,125.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,대형마트,0,,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,지하철역,0,,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,문화시설,17,107.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,학원,213,117.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,버스정류장,0,,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,올리브영,2,773.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,다이소,3,564.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,코인노래방,5,651.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,PC방,12,691.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,백화점,6,379.0,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,유니클로,0,,2026-09-04 11:30:46
북구,운암1동,35.1765,126.8821,탑텐,0,,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,편의점,31,14.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,카페,117,10.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,음식점,574,99.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,병원,66,110.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,대형마트,1,133.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,지하철역,0,,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,문화시설,2,233.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,학원,149,11.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,버스정류장,0,,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,올리브영,3,291.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,다이소,3,133.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,코인노래방,3,725.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,PC방,15,344.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,백화점,1,833.0,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,유니클로,0,,2026-09-04 11:30:46
북구,첨단2동,35.2162,126.8532,탑텐,1,133.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,편의점,16,197.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,카페,50,102.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,음식점,263,100.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,병원,29,286.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,대형마트,1,207.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,지하철역,0,,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,문화시설,1,705.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,학원,122,82.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,버스정류장,0,,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,올리브영,1,213.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,다이소,1,192.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,코인노래방,2,386.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,PC방,6,254.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,백화점,4,235.0,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,유니클로,0,,2026-09-04 11:30:46
북구,문흥1동,35.1882,126.9231,탑텐,0,,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,편의점,46,96.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,카페,163,20.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,음식점,801,22.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,병원,73,25.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,대형마트,2,456.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,지하철역,0,,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,문화시설,5,416.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,학원,195,50.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,버스정류장,0,,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,올리브영,3,336.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,다이소,4,113.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,코인노래방,3,317.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,PC방,16,305.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,백화점,3,319.0,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,유니클로,0,,2026-09-04 11:30:46
광산구,첨단1동,35.2175,126.8431,탑텐,1,806.0,2026-09-04 11:30:46
광산구,수완동,35.1912,126.8228,편의점,32,182.0,2026-09-04 11:30:46
광산구,수완동,35.1912,126.8228,카페,145,58.0,2026-09-04 11:30:46
광산구,수완동,35.1912,126.8228,음식점,583,50.0,2026-09-04 11:30:46
광산구,수완동,35.1912,126.8228,병원,79,50.0,2026-09-04 11:30:46
광산구,수완동,35.1912,126.8228,대형마트,5,185.0,2026-09-04 11:30:46
