"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 전남광주통합특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"112","전남광주통합특별시 광산구 쌍암동","694-133","0694","0133","도원","전세","24.9111","202412","13","6,000","0","2","2013","임방울대로 19-33","202412~202512","갱신","-","6,000","0","연립다세대"
"113","전남광주통합특별시 목포시 산정동","224-1","0224","0001","삼호빌라","전세","65.5200","202412","13","3,500","0","2","1990","연산로 58-1","-","-","-","","","연립다세대"
"114","전남광주통합특별시 순천시 조례동","1721-1","1721","0001","(1721-1)","월세","20.9656","202412","13","500","55","4","2019","유동1길 26","202412~202512","신규","-","","","연립다세대"
"115","전남광주통합특별시 곡성군 곡성읍 읍내리","756-1","0756","0001","중앙타운","월세","65.5731","202412","13","500","60","1","2018","읍내9길 9","202412~202612","신규","-","","","연립다세대"
"116","전남광주통합특별시 여수시 주삼동","1027","1027","0000","파인빌리지","월세","65.8600","202412","13","1,000","70","2","2020","주삼덕양로 189","202501~202601","신규","-","","","연립다세대"
"117","전남광주통합특별시 서구 쌍촌동","975-10","0975","0010","(975-10)","전세","26.4600","202412","12","6,500","0","4","2021","상무대로868번길 6-2","202501~202701","신규","-","","","연립다세대"
"118","전남광주통합특별시 여수시 웅천동","1867-1","1867","0001","포레나여수웅천더테라스1단지","월세","110.8563","202412","12","5,000","140","3","2020","웅천남1로 100","202501~202701","신규","-","","","연립다세대"
"119","전남광주통합특별시 북구 유동","115-7","0115","0007","(115-7)","전세","53.7300","202412","12","4,900","0","2","1980","중가로 31","-","-","-","","","연립다세대"
"120","전남광주통합특별시 목포시 용당동","1191-5","1191","0005","(1191-5)","월세","65.5000","202412","12","962","19","4","2022","양을로196번길 9-10","202501~202612","갱신","-","934","18","연립다세대"
"121","전남광주통합특별시 목포시 산정동","1731","1731","0000","우성빌라(1731-0)","전세","68.3600","202412","12","3,500","0","4","1992","죽산로40번길 4","202501~202701","신규","-","","","연립다세대"
"122","전남광주통합특별시 광양시 광양읍 구산리","799-1","0799","0001","베네스트B","월세","29.7000","202412","12","50","35","5","2013","서평1길 48","202412~202503","신규","-","","","연립다세대"
"123","전남광주통합특별시 순천시 석현동","200-12","0200","0012","코코빌","월세","21.4900","202412","11","100","29","5","2015","오리정2길 13","202412~202612","신규","-","","","연립다세대"
"124","전남광주통합특별시 여수시 웅천동","1866-1","1866","0001","포레나여수웅천더테라스2단지","월세","84.9662","202412","11","3,000","150","4","2020","웅천남1로 99","-","-","-","","","연립다세대"
"125","전남광주통합특별시 여수시 광무동","1060","1060","0000","여수브리온오션프랑테라스","월세","84.7880","202412","11","2,000","110","5","2025","광무남2길 2-8","202412~202612","신규","-","","","연립다세대"
"126","전남광주통합특별시 서구 쌍촌동","1004-10","1004","0010","가도스타디움","월세","16.0712","202412","11","300","35","3","2012","상무대로884번길 17-4","202412~202512","신규","-","","","연립다세대"
